level,province_nesdc_en,type,sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Provincial,KHON KAEN,Chain Volume Measures,"Professional, scientific and technical activities",24.228114,23.035623,32.483913,23.245891,29.680692,33.850707,29.636456,38.892347,37.603132,44.368523,48.716872,56.909001,50.496691,46.594643,51.390737,50.542485,68.549403,74.867133,52.390092,64.74953,124.363666,155.330505,157.761965,161.318339,185.840652,200.257865
Provincial,KHON KAEN,Chain Volume Measures,Administrative and support service activities,353.075195,777.297627,712.257949,234.037378,287.881566,316.439225,318.12963,331.550126,334.919318,334.757671,329.957644,307.036433,409.628131,385.192599,363.277752,360.707456,338.705601,374.000551,394.607362,383.939326,410.591606,441.243395,503.767592,528.713033,561.799444,356.471724
Provincial,KHON KAEN,Chain Volume Measures,Public administration and defence; compulsory social security,3327.288976,4015.597713,4484.80481,4862.843628,5277.469984,5735.28996,5887.759146,6384.167842,6458.737667,6524.410708,6671.385743,5840.503727,5421.850749,4755.794859,4710.939377,5337.344413,5621.833402,7155.549349,6192.004517,4777.584279,4627.734006,4512.375477,4614.012004,4703.278439,4742.34329,4576.103326
Provincial,KHON KAEN,Chain Volume Measures,Education,5855.923015,6103.032094,6419.881666,6683.068048,6489.39597,6565.525473,6588.192208,6573.326171,7131.158415,7476.985181,7769.878002,8626.451094,8856.709253,8951.532902,9335.016083,9878.751633,10412.53957,11021.4553,11211.63951,10902.31212,12318.58054,12284.9328,12820.28617,12368.07466,12561.02117,12773.24811
Provincial,KHON KAEN,Chain Volume Measures,Human health and social work activities,1430.262541,1672.394732,1712.972142,1828.190435,1755.227552,1867.508269,1691.77217,1864.961832,1793.109795,1902.887006,2025.592431,2041.591155,2249.107043,2574.512186,2844.357206,3155.992142,3442.16964,3897.697403,4041.306923,4295.100385,4358.645658,4431.515965,4599.15302,4849.53362,4976.521128,5197.009523
Provincial,KHON KAEN,Chain Volume Measures,"Arts, entertainment and recreation",60.641788,83.371237,82.376204,82.045702,85.623464,84.615381,101.715227,133.654226,194.716462,358.784471,369.689814,294.778113,118.804706,105.80788,100.569706,136.850042,169.816006,184.151605,183.073831,179.753559,207.985608,264.995927,303.158229,345.848874,400.329046,344.032949
Provincial,KHON KAEN,Chain Volume Measures,Other service activities,571.679764,561.286555,581.331288,567.06636,558.189282,555.25459,724.943976,522.765911,557.503691,701.163511,853.982651,571.984008,676.619485,889.82814,1056.939454,753.807163,798.842719,1022.692411,1086.416896,1087.847236,1082.924041,1097.743921,1086.805656,1038.054473,996.810893,995.624836
Provincial,KHON KAEN,Chain Volume Measures,Gross provincial product (CVMs),62511.77839,67611.59067,72141.25127,63391.75603,69124.51257,66555.98982,66323.82621,70862.38783,76993.55894,80677.31679,80538.21817,92179.80233,98617.75018,105212.6696,110518.5135,112350.6393,117453.7524,131588.1612,125175.7316,124936.5704,126587.5457,126768.845,132027.1899,136849.0891,136052.6802,131157.9628
Provincial,UDON THANI,Current Market Prices,Agriculture,4712.24616,5305.497633,5349.955359,5475.469775,5181.831099,5271.408917,5048.423109,5217.412225,6757.187434,6478.984609,6454.872758,7915.390678,8750.998201,8783.566864,10873.69331,12908.6618,15846.82624,18243.11241,20685.75187,18576.51534,18090.59822,18197.12693,19579.72309,19701.32302,19207.2752,17966.1434
Provincial,UDON THANI,Current Market Prices,Agriculture,4712.24616,5305.497633,5349.955359,5475.469775,5181.831099,5271.408917,5048.423109,5217.412225,6757.187434,6478.984609,6454.872758,7915.390678,8750.998201,8783.566864,10873.69331,12908.6618,15846.82624,18243.11241,20685.75187,18576.51534,18090.59822,18197.12693,19579.72309,19701.32302,19207.2752,17966.1434
